row,run,variant,throughput,steady,work_ms,tail_ms,log
fixed16,1,base,107740530.904,117161999.531,13.656,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run1_base.log
fixed16,2,base,106343467.6,114720579.029,13.947,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run2_base.log
fixed16,3,base,112867454.105,121845737.509,13.131,0.001,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run3_base.log
fixed16,4,base,99224578.523,105662708.916,15.143,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run4_base.log
fixed16,5,base,120827952.399,129562230.278,12.349,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run5_base.log
fixed16,6,base,115198000.163,123961262.725,12.907,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run6_base.log
fixed16,7,base,115907114.067,125270810.046,12.772,0.001,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run7_base.log
fixed16,8,base,108464325.473,117073373.469,13.667,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run8_base.log
fixed16,9,base,110360757.591,119777504.302,13.358,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run9_base.log
fixed16,10,base,112025331.168,121515957.134,13.167,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run10_base.log
fixed16,1,cand,118203720.122,127982389.623,12.502,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run1_cand.log
fixed16,2,cand,97934835.874,102609763.909,15.593,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run2_cand.log
fixed16,3,cand,101061684.578,107338757.563,14.906,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run3_cand.log
fixed16,4,cand,121744309.861,131784665.833,12.141,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run4_cand.log
fixed16,5,cand,121776333.105,131970779.03,12.124,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run5_cand.log
fixed16,6,cand,119825306.685,129072562.013,12.396,0.001,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run6_cand.log
fixed16,7,cand,116016077.508,123640619.684,12.941,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run7_cand.log
fixed16,8,cand,118191129.091,127219341.411,12.577,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run8_cand.log
fixed16,9,cand,119745609.434,129133002.634,12.39,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run9_cand.log
fixed16,10,cand,110984242.249,117885317.185,13.573,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed16_run10_cand.log
fixed8,1,base,114404899.676,122288014.873,13.084,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run1_base.log
fixed8,2,base,99990938.321,110228358.023,14.515,0.001,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run2_base.log
fixed8,3,base,115083688.139,124764915.607,12.824,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run3_base.log
fixed8,4,base,114173750.613,123481915.263,12.957,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run4_base.log
fixed8,5,base,115559034.524,124686782.905,12.832,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run5_base.log
fixed8,6,base,114278000.521,123449741.296,12.961,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run6_base.log
fixed8,7,base,105396033.17,113586685.596,14.086,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run7_base.log
fixed8,8,base,117048484.921,125539565.128,12.745,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run8_base.log
fixed8,9,base,88477752.435,97413720.516,16.425,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run9_base.log
fixed8,10,base,110232625.977,119068137.039,13.438,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run10_base.log
fixed8,1,cand,114470174.796,121937668.817,13.121,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run1_cand.log
fixed8,2,cand,115645473.766,125626365.205,12.736,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run2_cand.log
fixed8,3,cand,109785496.979,116437419.581,13.741,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run3_cand.log
fixed8,4,cand,111141659.631,120867173.624,13.238,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run4_cand.log
fixed8,5,cand,119539715.315,126511726.174,12.647,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run5_cand.log
fixed8,6,cand,120354594.725,129449115.535,12.36,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run6_cand.log
fixed8,7,cand,111848401.795,119683508.929,13.369,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run7_cand.log
fixed8,8,cand,114707230.585,125155065.17,12.784,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run8_cand.log
fixed8,9,cand,84756249.502,93629046.633,17.089,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run9_cand.log
fixed8,10,cand,118619371.344,128113713.732,12.489,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/fixed8_run10_cand.log
main_i0,1,base,105416143.072,116006042.465,13.792,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run1_base.log
main_i0,2,base,107263329.664,116346053.302,13.752,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run2_base.log
main_i0,3,base,109186494.422,122141162.053,13.1,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run3_base.log
main_i0,4,base,113637606.548,124306032.44,12.871,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run4_base.log
main_i0,5,base,107280921.463,117119392.9,13.661,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run5_base.log
main_i0,6,base,111638922.883,124093612.498,12.893,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run6_base.log
main_i0,7,base,107578096.992,117873314.918,13.574,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run7_base.log
main_i0,8,base,104785371.072,115529771.878,13.849,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run8_base.log
main_i0,9,base,104519617.712,115705394.684,13.828,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run9_base.log
main_i0,10,base,105866968.758,116825253.297,13.696,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run10_base.log
main_i0,1,cand,108624500.175,115081444.937,13.903,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run1_cand.log
main_i0,2,cand,109857854.236,118847391.259,13.463,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run2_cand.log
main_i0,3,cand,110008535.287,116001071.85,13.793,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run3_cand.log
main_i0,4,cand,108652737.295,119555105.563,13.383,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run4_cand.log
main_i0,5,cand,107515299.259,120473908.213,13.281,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run5_cand.log
main_i0,6,cand,108231887.36,115647906.191,13.835,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run6_cand.log
main_i0,7,cand,108131999.435,119535955.444,13.385,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run7_cand.log
main_i0,8,cand,107794055.953,120778790.701,13.247,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run8_cand.log
main_i0,9,cand,109336832.476,122344138.156,13.078,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run9_cand.log
main_i0,10,cand,109468895.234,120686504.058,13.257,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/main_i0_run10_cand.log
medium_i0,1,base,97075526.944,109727116.89,14.582,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run1_base.log
medium_i0,2,base,97393037.944,107667232.615,14.861,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run2_base.log
medium_i0,3,base,98302639.051,106398811.206,15.038,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run3_base.log
medium_i0,4,base,95599895.318,104933962.106,15.248,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run4_base.log
medium_i0,5,base,94240037.149,105466965.868,15.171,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run5_base.log
medium_i0,6,base,93082260.226,105128075.234,15.22,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run6_base.log
medium_i0,7,base,95094491.236,105225539.764,15.205,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run7_base.log
medium_i0,8,base,92248608.848,101724051.005,15.729,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run8_base.log
medium_i0,9,base,96683046.386,108172280.583,14.791,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run9_base.log
medium_i0,10,base,95083906.496,104435411.071,15.32,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run10_base.log
medium_i0,1,cand,87985052.659,99456804.232,16.087,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run1_cand.log
medium_i0,2,cand,85447066.797,90981364.23,17.586,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run2_cand.log
medium_i0,3,cand,97496794.184,108852697.332,14.699,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run3_cand.log
medium_i0,4,cand,100574709.031,110458157.656,14.485,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run4_cand.log
medium_i0,5,cand,100599162.323,111574174.93,14.34,0.001,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run5_cand.log
medium_i0,6,cand,102069360.596,112291978.233,14.249,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run6_cand.log
medium_i0,7,cand,97464729.19,106806426.436,14.98,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run7_cand.log
medium_i0,8,cand,100433968.903,108743959.018,14.713,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run8_cand.log
medium_i0,9,cand,100380315.922,108749591.085,14.713,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run9_cand.log
medium_i0,10,cand,99293434.129,108551187.652,14.74,0.0,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i0_run10_cand.log
medium_i1,1,base,93702275.894,103415523.898,15.472,1.09,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run1_base.log
medium_i1,2,base,90840588.847,99784316.201,16.035,2.232,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run2_base.log
medium_i1,3,base,90815901.41,99289170.214,16.115,1.413,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run3_base.log
medium_i1,4,base,88302847.419,93618336.415,17.091,1.582,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run4_base.log
medium_i1,5,base,88511387.82,97840812.265,16.353,1.013,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run5_base.log
medium_i1,6,base,92055045.465,100477317.497,15.924,1.493,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run6_base.log
medium_i1,7,base,92991633.252,101977841.107,15.69,1.41,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run7_base.log
medium_i1,8,base,90611175.779,97776292.121,16.364,1.65,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run8_base.log
medium_i1,9,base,87042367.274,95418652.319,16.768,3.38,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run9_base.log
medium_i1,10,base,79068540.96,86429237.628,18.512,3.208,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run10_base.log
medium_i1,1,cand,93483138.505,102603236.491,15.594,1.383,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run1_cand.log
medium_i1,2,cand,97797490.492,106629062.151,15.005,1.031,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run2_cand.log
medium_i1,3,cand,92389981.577,97473469.397,16.415,1.864,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run3_cand.log
medium_i1,4,cand,90296847.5,100019303.726,15.997,2.796,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run4_cand.log
medium_i1,5,cand,96958649.56,105225823.496,15.205,1.446,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run5_cand.log
medium_i1,6,cand,92685449.682,98796833.636,16.195,1.928,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run6_cand.log
medium_i1,7,cand,83160001.037,91213500.419,17.541,3.943,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run7_cand.log
medium_i1,8,cand,90765578.153,102039879.226,15.68,3.14,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run8_cand.log
medium_i1,9,cand,99855452.991,108897756.645,14.693,1.119,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run9_cand.log
medium_i1,10,cand,96331660.273,103137081.945,15.513,1.049,bench_results/hz8_active_hit_ab_20260624T174838Z/medium_i1_run10_cand.log
