row,run,post_rss,peak_rss,depth,already_idle_pages,drain_idle_pages,drain_capacity_pages,truly_live_pinned_pages,skipped_live_owner_pages,pending_before_slots,merged_slots,drain_idle_bytes,log
small_interleaved_remote90,1,41549824,41549824,606,16,590,0,0,0,42053,42053,38666240,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_drain_potential_l0/small_interleaved_remote90_hz10_1.log
main_interleaved_r90,1,81133568,81133568,2315,7,2308,0,0,0,21051,21051,151257088,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_drain_potential_l0/main_interleaved_r90_hz10_1.log
medium_interleaved_r50,1,91488256,91488256,4054,29,4025,0,0,0,6072,6072,263782400,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_drain_potential_l0/medium_interleaved_r50_hz10_1.log
main_local0,1,35520512,35520512,570,570,0,0,0,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_drain_potential_l0/main_local0_hz10_1.log
medium_local0,1,6291456,6291456,160,160,0,0,0,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_drain_potential_l0/medium_local0_hz10_1.log
small_interleaved_remote90,2,44171264,44171264,642,16,626,0,0,0,42494,42494,41025536,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_drain_potential_l0/small_interleaved_remote90_hz10_2.log
main_interleaved_r90,2,104726528,104726528,2951,6,2945,0,0,0,23170,23170,193003520,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_drain_potential_l0/main_interleaved_r90_hz10_2.log
medium_interleaved_r50,2,76021760,76021760,3317,22,3295,0,0,0,5095,5095,215941120,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_drain_potential_l0/medium_interleaved_r50_hz10_2.log
main_local0,2,35389440,35389440,571,571,0,0,0,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_drain_potential_l0/main_local0_hz10_2.log
medium_local0,2,6422528,6422528,160,160,0,0,0,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_drain_potential_l0/medium_local0_hz10_2.log
small_interleaved_remote90,3,44695552,44695552,651,16,635,0,0,0,42939,42939,41615360,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_drain_potential_l0/small_interleaved_remote90_hz10_3.log
main_interleaved_r90,3,120848384,120848384,3363,7,3356,0,0,0,24571,24571,219938816,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_drain_potential_l0/main_interleaved_r90_hz10_3.log
medium_interleaved_r50,3,59637760,59637760,2677,27,2650,0,0,0,3990,3990,173670400,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_drain_potential_l0/medium_interleaved_r50_hz10_3.log
main_local0,3,35520512,35520512,569,569,0,0,0,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_drain_potential_l0/main_local0_hz10_3.log
medium_local0,3,6291456,6291456,160,160,0,0,0,0,0,0,0,/mnt/workdisk/public_share/hakozuna_repo/hakozuna-hz10/bench_results/20260707T_hz10_orphan_registry_drain_potential_l0/medium_local0_hz10_3.log
