row,run,ops_per_s,post_rss,peak_rss,minor_faults,work_ms,tail_ms
small_interleaved_remote90,1,14202747.163,2924544,31064064,7376,51.001,3.258
small_interleaved_remote90,2,14733601.023,3076096,32243712,7691,50.098,2.489
small_interleaved_remote90,3,14929149.151,3031040,25034752,6073,50.128,2.048
main_interleaved_r90,1,6359064.868,4878336,83755008,20382,94.239,17.498
main_interleaved_r90,2,6957968.815,4562944,68550656,16632,92.922,10.148
main_interleaved_r90,3,6835922.864,4784128,68419584,16584,93.585,11.543
medium_interleaved_r50,1,9592334.190,4104192,62914560,15355,60.161,11.203
medium_interleaved_r50,2,10981050.180,3866624,47579136,11555,57.317,6.246
medium_interleaved_r50,3,8864630.728,4571136,78249984,18998,65.826,11.104
main_local0,1,122928803.325,3670016,3670016,671,4.361,0.773
main_local0,2,116138353.298,3670016,3801088,675,4.524,1.094
main_local0,3,113571624.584,3928064,4063232,657,4.788,0.993
medium_local0,1,113798397.036,3014656,3014656,624,4.856,0.690
medium_local0,2,109886608.009,3276800,3407872,618,4.817,1.016
medium_local0,3,107359378.003,2752512,2883584,618,4.981,0.885
